fold_id,retrain_interval,HV_final_GA,HV_final_UNION,Delta_HV
206,42,0.003701269000143,0.0254497333057355,0.0217484643055925
3,10,0.0037193219819091,0.0199972481160636,0.016277926134154498
206,10,0.0160587853733207,0.0237087079740558,0.0076499226007351005
216,20,0.0005422691514667,0.0052123611273496,0.0046700919758829
347,42,0.0003202985615555,0.003935427944352,0.0036151293827965
246,10,0.0038533671054202,0.0045170251854732,0.0006636580800530004
652,20,0.0003879282043117,0.0003879282043117,0.0
400,42,0.0004830976514229,0.0004830976514229,0.0
444,10,0.0033516702326187,0.0033516702326187,0.0
444,20,0.0017180358898438,0.0017180358898438,0.0
444,42,0.0003297145716978,0.0003297145716978,0.0
553,10,0.0,0.0,0.0
553,20,0.0,0.0,0.0
553,42,0.0,0.0,0.0
652,10,0.0,0.0,0.0
400,10,9.05588954129056e-05,9.05588954129056e-05,0.0
564,10,0.0,0.0,0.0
564,20,0.0,0.0,0.0
564,42,0.0,0.0,0.0
599,10,0.026335632304448,0.026335632304448,0.0
599,20,0.0,0.0,0.0
599,42,0.0,0.0,0.0
400,20,0.0021739328264939,0.0021739328264939,0.0
364,10,0.0,0.0,0.0
364,42,0.0,0.0,0.0
364,20,0.0015390182109695,0.0015390182109695,0.0
3,42,0.0020312202258554,0.0020312202258554,0.0
35,10,9.935169247795576e-05,9.935169247795576e-05,0.0
35,20,0.0008159553984238,0.0008159553984238,0.0
35,42,3.2610358938245826e-05,3.2610358938245826e-05,0.0
159,10,0.0054402686848275,0.0054402686848275,0.0
159,20,0.0,0.0,0.0
159,42,0.0012020253515103,0.0012020253515103,0.0
206,20,0.0150775707832392,0.0150775707832392,0.0
216,10,0.0,0.0,0.0
216,42,3.1355543942008914e-05,3.1355543942008914e-05,0.0
246,20,0.0,0.0,0.0
246,42,0.0,0.0,0.0
347,10,0.0016900422662896,0.0016900422662896,0.0
347,20,0.0,0.0,0.0
3,20,0.0002939771265145,0.0002939771265145,0.0
652,42,0.0013084636372809,0.0013084636372809,0.0
