fold_id,ticker,date_min,date_max,layers,batch_size,dropout,rmse_lstm
553,NVDA,2015-03-06,2016-03-04,1,26,0.31012183772795604,0.2433034777641296
564,NVDA,2016-02-04,2017-02-02,1,31,0.3143694932975243,0.4388469457626343
159,AMZN,2014-09-04,2015-09-02,2,21,0.1945262208516296,0.4632172882556915
347,META,2015-05-21,2016-05-19,1,27,0.08780905581811743,0.385013610124588
206,AMZN,2018-08-06,2019-08-06,1,20,0.15911123378285555,0.4227344095706939
364,META,2016-10-19,2017-10-18,1,23,0.3589095996810502,0.429125040769577
444,MSFT,2014-10-03,2015-10-02,2,18,0.14628130278561288,0.3927517831325531
400,MSFT,2011-02-01,2012-01-31,1,17,0.052945709167831596,0.4444439709186554
35,AAPL,2013-01-03,2014-01-02,2,21,0.11811091889873805,0.4152731001377105
599,TSLA,2010-10-26,2011-10-24,2,19,0.029356666712899993,0.4667145609855652
652,TSLA,2015-03-31,2016-03-30,2,21,0.02773601560423644,0.4307930767536163
246,GOOGL,2013-04-05,2014-04-03,1,26,0.10422894739418503,0.4620373249053955
216,GOOGL,2010-10-01,2011-09-29,2,29,0.5,0.4313168525695801
3,AAPL,2010-05-04,2011-05-02,2,19,0.04629511207892636,0.3601905107498169
