ticker,source,Sharpe_mean,Sharpe_median,MDD_mean,MDD_median,AnnRet_mean,AnnRet_median,AnnVol_mean,AnnVol_median,n
AAPL,GA+BO_knee,1.4694417958510355,1.4492512426792925,0.1504478296806632,0.08281572796067285,0.22018667271537717,0.1104395493256595,0.1508219426622225,0.07281988360482375,6
AAPL,GA_knee,1.4694417958510355,1.4492512426792925,0.1504478296806632,0.08281572796067285,0.22018667271537717,0.1104395493256595,0.1508219426622225,0.07281988360482375,6
AMZN,GA+BO_knee,1.463030212904754,1.4505582304806968,0.15240439462054148,0.09433509945180124,0.2434996000811792,0.1083343916428415,0.15314865740029204,0.0751729562259392,6
AMZN,GA_knee,1.463030212904754,1.4505582304806968,0.15240613679991882,0.09433509945180124,0.2435021041891353,0.1083343916428415,0.15315034629848717,0.0751729562259392,6
GOOGL,GA+BO_knee,1.520125544212804,1.579889243222207,0.11484808817555454,0.09092571008120726,0.15813345950894744,0.10856852753851125,0.10454379441179161,0.07124166558023631,6
GOOGL,GA_knee,1.5205327773593373,1.579889243222207,0.1148983011492321,0.09092571008120726,0.15748963637232638,0.10663705812864804,0.10416885972257045,0.07124166558023631,6
META,GA+BO_knee,1.4536633689818217,1.4343884507873685,0.0831623451505309,0.07678654420561674,0.10120178826571724,0.1017990190944228,0.07027793737265316,0.0704033724008819,6
META,GA_knee,1.4536633689818217,1.4343884507873685,0.0831623451505309,0.07678654420561674,0.10120178826571724,0.1017990190944228,0.07027793737265316,0.0704033724008819,6
MSFT,GA+BO_knee,1.4832602523216878,1.3452406462081312,0.17886613699606166,0.0919140714947791,0.3435224761673718,0.1018066141360174,0.19198995948596909,0.0825510214876718,3
MSFT,GA_knee,1.4026930053294533,1.3452406462081312,0.0774342531744804,0.0772852597857241,0.10233433894130572,0.1018066141360174,0.0743790788904314,0.07567910947605,3
NVDA,GA+BO_knee,1.1138851869942172,1.1625791436181097,0.13087053640629637,0.1288026531187419,0.12740047463351575,0.1117342160969464,0.11333033102500106,0.0961089115612498,3
NVDA,GA_knee,1.1138851869942172,1.1625791436181097,0.13087053640629637,0.1288026531187419,0.12740047463351575,0.1117342160969464,0.11333033102500106,0.0961089115612498,3
TSLA,GA+BO_knee,1.3916512538678747,1.426051017860273,0.09717577091471667,0.0899174804488203,0.10929217150151165,0.1056121603781253,0.0789089082189567,0.0731062723027493,3
TSLA,GA_knee,1.3916512538678747,1.426051017860273,0.09717577091471667,0.0899174804488203,0.10929217150151165,0.1056121603781253,0.0789089082189567,0.0731062723027493,3
